"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
AT314,,,,,,,,,,,,,,,,45236.3,45613.05,45586.36,47224.4,47850.39,44947.18,44753.47,44956.29,45265.87,45449.23,45115.97,45510,45885.99,46544.72,46669.48,46398.66,46925.08,47473.340000000004,48000,47757.91,47748.06,47833.85,48238.24,48734.03,49616.86,48878.6,49902.99,49901.79,49693.91,51490.6,51531.590000000004,51323.94,51187.21
AT315,,,,,,,,,,,,,,,,45237.98,45613.26,45586.63,47230.5,47853.020000000004,45457.5,45315.92,45458.96,45778.88,45950.25,45719.75,46212.9,46524.76,46944.76,46847.22,46667.43,47264.94,47744.19,48407.94,48088.43,48196.54,48346.11,48779.87,49320.66,50051.62,49379.81,50541.28,50560.36,50409.87,52233.01,52278.33,52067.340000000004,51926.92
AT32,,,,,,,,,,,,,,,,36310.200000000004,36339.74,36138.69,36657.61,37045.9,43382.62,43564.88,44178.51,44947.98,44821.47,44489.97,44995.88,45053.72,45712.98,45336.67,45681.31,45808.340000000004,46341.67,46757.07,46662.99,46755.19,47008.21,47452.8,47745.03,48488.21,48383.76,48597.42,49041.49,48814.38,50090.07,50132.5,49928.61,49795.03
AT321,,,,,,,,,,,,,,,,36345.89,36325.39,36171.11,36643.65,37073.17,48985.29,49268.66,49880.6,50391.3,50382.35,49626.87,50602.94,49828.57,50352.11,49625,50438.36,49636.36,50166.67,50594.94,50949.37,50759.49,50695.12,51108.43,50511.9,51916.67,52151.9,52493.51,52481.93,52357.14,53692.31,53747.04,53552.94,53376.17
AT322,,,,,,,,,,,,,,,,36307.72,36342.72,36138.63,36661.270000000004,37047.48,45084.42,45260.16,45890.88,46710.61,46654.28,46133.96,46916.41,46670.68,47401.17,47066.270000000004,47375.72,47474.36,47842.700000000004,48312.41,48253.13,48216.55,48366.71,48749.67,48910.270000000004,49554.42,49775.37,50180.81,50266.24,49990.04,51299.23,51339.35,51128.48,50995.23
AT323,,,,,,,,,,,,,,,,36310.17,36339.23,36137.21,36657.450000000004,37043.98,42531.94,42690.8,43297.48,44047.71,43936.11,43633.450000000004,44075.89,44218.71,44851.66,44463.74,44818.29,44964.78,45560.770000000004,45953.92,45853.63,46010.29,46280.8,46773.16,47154.81,47907.92,47657.69,47847.840000000004,48410.43,48195.41,49455.65,49498.51,49297.01,49165.08
AT33,,,,,,,,,,,,,,,,33193.92,33084.73,32739.9,33305.82,34131.35,41917.68,41919.83,42101.92,42133.5,42285.020000000004,42102.38,42707.32,43018.68,43979.05,43611.4,43736.46,43880.75,44026.07,44282.69,44315.58,44402.88,44708.1,45025.97,45683.21,46318.08,46078.1,46363.33,46695.44,46643.37,47949.090000000004,47989.200000000004,47794.55,47665.81
AT331,,,,,,,,,,,,,,,,33183.93,33081.71,32741.31,33312.69,34126.14,42404.41,42411.76,42519.08,42572.520000000004,42587.79,42353.38,42955.22,43175.18,44143.88,43551.47,43720.590000000004,43812.950000000004,44107.14,44198.58,44181.82,43979.31,44297.3,44660,45350.65,46045.16,45440,45874.17,46487.340000000004,46496.89,47797.03,47849.200000000004,47644.53,47501.53
AT332,,,,,,,,,,,,,,,,33194.55,33084.53,32741.22,33303.83,34131.42,40295.71,40327.32,40532.18,40608.8,40789.15,40675.21,41318.28,41705.75,42663.3,42261.590000000004,42439.37,42634.57,42926.16,43133.24,43173.65,43347.54,43748.36,44117.99,44838.69,45497.82,45134.14,45329.770000000004,45826.83,45851.87,47137.520000000004,47177.74,46986.71,46861.92
AT333,,,,,,,,,,,,,,,,33199.770000000004,33081.87,32731.43,33304.6,34133.56,45202.450000000004,45096.97,45629.63,45341.46,45457.83,44976.74,45250,45857.950000000004,46700,46200,46318.92,46164.020000000004,46197.92,46292.31,46381.91,46049.020000000004,46391.3,46547.62,47102.8,47601.85,47421.8,47638.89,47896.4,47683.26,49017.130000000005,49067.99,48875.450000000004,48740.54
AT334,,,,,,,,,,,,,,,,33188.92,33087.8,32733.9,33307.47,34126.58,44634.44,44588.590000000004,44665.67,44540,44731.99,44487.32,45099.450000000004,44992,46101.56,45660.62,45586.9,45635.47,45762.71,46098.32,46002.35,45892.200000000004,46089.69,46163.79,46775.21,47348.55,47398.63,48142.86,47974.58,47792.1,49130.07,49170.630000000005,48966.87,48838.68
AT335,,,,,,,,,,,,,,,,33196.56,33084.81,32740.850000000002,33308.22,34132.32,42513.25,42523.6,42618.58,42680.3,42867.88,42692.23,43253.61,43564.65,44514.340000000004,44220.68,44334.97,44411.54,44488.26,44796.3,44886.65,44995.520000000004,45238.81,45514.55,46158.03,46799.01,46695.950000000004,46917.090000000004,47169.63,47080.16,48395.67,48432.020000000004,48235.39,48106.46
AT34,,,,,,,,,,,,,,,,44092.58,44164.520000000004,44331.47,45156.25,45634.51,45121.68,45176.1,45457.32,44834.83,45047.06,44894.520000000004,45462.68,45914.42,47078.590000000004,46539.37,46785.11,47149.590000000004,47299.31,47987,48059.54,48400.36,48425.29,49004.62,49488.14,50104.47,49897.49,50678.33,50557.32,50328.97,52185.86,52231.47,52020.700000000004,51881.36
AT341,,,,,,,,,,,,,,,,44095.590000000004,44167.15,44331.03,45152.22,45641.4,47432.43,47504.5,47667.67,47051.05,47223.88,46862.97,47399.43,47831.93,48927.78,48493.04,48728.770000000004,49100.270000000004,49191.37,49873.35,49801.55,50133.33,49949.49,50503.72,51039.22,51587.950000000004,51498.76,52339.950000000004,52002.35,51697.18,53609.340000000004,53653.71,53438.82,53295.3
AT342,,,,,,,,,,,,,,,,44091.54,44163.63,44331.61,45157.56,45632.270000000004,44420.24,44480.72,44798.200000000004,44172.35,44390.090000000004,44250.450000000004,44859.79,45364.340000000004,46467.47,45937.340000000004,46183.05,46550.75,46722.04,47446.96,47522.26,47908.24,47962.42,48550.04,49023.49,49656.73,49457.1,50189.19,50118.03,49914.71,51754.87,51800.16,51592.020000000004,51453.25
ATZ,,,,,,,,,,,,,,,,85065.79000000001,86315.79000000001,87124.18000000001,86774.19,84303.8,83062.5,86933.33,86866.67,85800,85200,84866.67,78750,83000,83933.33,81125,83375,85800,86333.33,82600,81000,76937.5,73000,77500,78062.5,78250,87142.86,86285.71,86857.14,82928.57,85500,85714.29000000001,85177.3,84929.58
ATZZ,,,,,,,,,,,,,,,,85065.79000000001,86315.79000000001,87124.18000000001,86774.19,84303.8,83062.5,86933.33,86866.67,85800,85200,84866.67,78750,83000,83933.33,81125,83375,85800,86333.33,82600,81000,76937.5,73000,77500,78062.5,78250,87142.86,86285.71,86857.14,82928.57,85500,85714.29000000001,85177.3,84929.58
ATZZZ,,,,,,,,,,,,,,,,85065.79000000001,86315.79000000001,87124.18000000001,86774.19,84303.8,83062.5,86933.33,86866.67,85800,85200,84866.67,78750,83000,83933.33,81125,83375,85800,86333.33,82600,81000,76937.5,73000,77500,78062.5,78250,87142.86,86285.71,86857.14,82928.57,85500,85714.29000000001,85177.3,84929.58
BE,,,,,,,,,,,,,,,,50250.78,50948.880000000005,52120.07,51891.68,53376.33,53353.47,54232.61,55563.520000000004,55642.83,55564.98,55403.86,56098.08,56977.36,57968.18,58148.19,58003.950000000004,58533.73,59173.03,59741.8,59846.35,59294.82,58628.56,58591.98,58654.98,58779.99,57141.68,58395.96,58854.54,59984.42,60867.880000000005,61607.37,61973.35,62115.98
BE1,,,,,,,,,,,,,,,,59546.96,60110.700000000004,61391.76,61204.29,63350.11,63238.310000000005,64479.65,66006.61,67422.87,67457.3,67446.09,68001.85,69687.56,70043.37,70712.36,70441.02,70882.49,71812.09,72229.18000000001,72192.59,71603.03,70547.54000000001,70223.34,70297.16,70393.88,68553.77,70018.01,70334.90000000001,72443.2,73581.24,74473.84,74915.56,75088.06
BE10,,,,,,,,,,,,,,,,59546.96,60110.700000000004,61391.76,61204.29,63350.11,63238.310000000005,64479.65,66006.61,67422.87,67457.3,67446.09,68001.85,69687.56,70043.37,70712.36,70441.02,70882.49,71812.09,72229.18000000001,72192.59,71603.03,70547.54000000001,70223.34,70297.16,70393.88,68553.77,70018.01,70334.90000000001,72443.2,73581.24,74473.84,74915.56,75088.06
BE100,,,,,,,,,,,,,,,,59546.96,60110.700000000004,61391.76,61204.29,63350.11,63238.310000000005,64479.65,66006.61,67422.87,67457.3,67446.09,68001.85,69687.56,70043.37,70712.36,70441.02,70882.49,71812.09,72229.18000000001,72192.59,71603.03,70547.54000000001,70223.34,70297.16,70393.88,68553.77,70018.01,70334.90000000001,72443.2,73581.24,74473.84,74915.56,75088.06
BE2,,,,,,,,,,,,,,,,48973.28,49746.48,50988.89,50863.53,52365.86,52326.020000000004,53310.35,54560.020000000004,54461.86,54458.72,54212.31,55058.12,55895.08,57042.56,56891.73,56790.020000000004,57279.58,57900.35,58390.89,58592.29,58170.69,57648.76,57630.200000000004,57850.520000000004,58057.67,56640.700000000004,57900.36,58246.340000000004,59351.82,60186.29,60915.8,61277.840000000004,61418.72
