NUTS_CODE;YEAR;MONTH;CDD;HDD
UKG;1993;1;0;378.26
UKG;1993;2;0;369.48
UKG;1993;3;0;356.98
UKG;1993;4;0;263.65
UKG;1993;5;0;204.79
UKG;1993;6;0;78.18
UKG;1993;7;0;77.21
UKG;1993;8;0;101.85
UKG;1993;9;0;170.75
UKG;1993;10;0;314.32
UKG;1993;11;0;408.55
UKG;1993;12;0;391.15
UKG;1994;1;0;392.6
UKG;1994;2;0;417.72
UKG;1994;3;0;319.08
UKG;1994;4;0;302.06
UKG;1994;5;0;233.46
UKG;1994;6;0;101.19
UKG;1994;7;0;9.53
UKG;1994;8;0;60.04
UKG;1994;9;0;164.42
UKG;1994;10;0;251.17
UKG;1994;11;0;238.08
UKG;1994;12;0;366.15
UKG;1995;1;0;414.72
UKG;1995;2;0;319.16
UKG;1995;3;0;391.52
UKG;1995;4;0;277.91
UKG;1995;5;0;197.93
UKG;1995;6;0;113.11
UKG;1995;7;0.29;14.94
UKG;1995;8;5.71;12.82
UKG;1995;9;0;120.85
UKG;1995;10;0;150
UKG;1995;11;0;315.61
UKG;1995;12;0;495.66
UKG;1996;1;0;429.36
UKG;1996;2;0;453.04
UKG;1996;3;0;422.06
UKG;1996;4;0;290.19
UKG;1996;5;0;280.47
UKG;1996;6;0;110.22
UKG;1996;7;0;49.27
UKG;1996;8;0.01;35.38
UKG;1996;9;0;125.19
UKG;1996;10;0;206.3
UKG;1996;11;0;365.73
UKG;1996;12;0;473.39
UKG;1997;1;0;496.94
UKG;1997;2;0;312.71
UKG;1997;3;0;304.91
UKG;1997;4;0;275.42
UKG;1997;5;0;208.37
UKG;1997;6;0;115.96
UKG;1997;7;0;25.74
UKG;1997;8;0.23;8.35
UKG;1997;9;0;110.57
UKG;1997;10;0;250.06
UKG;1997;11;0;288.45
UKG;1997;12;0;384.14
UKG;1998;1;0;398.77
UKG;1998;2;0;295.89
UKG;1998;3;0;309.98
UKG;1998;4;0;316.69
UKG;1998;5;0;149.13
UKG;1998;6;0;109.24
UKG;1998;7;0;46.4
UKG;1998;8;0;54.39
UKG;1998;9;0;82.62
UKG;1998;10;0;229.94
UKG;1998;11;0;364.14
UKG;1998;12;0;397.84
UKG;1999;1;0;385.56
UKG;1999;2;0;356.24
UKG;1999;3;0;335.13
UKG;1999;4;0;261.04
UKG;1999;5;0;153.5
UKG;1999;6;0;114.24
UKG;1999;7;0;10.65
UKG;1999;8;0;52.52
UKG;1999;9;0;78.11
UKG;1999;10;0;230.5
UKG;1999;11;0;310.2
UKG;1999;12;0;413.28
UKG;2000;1;0;400.47
UKG;2000;2;0;339.65
UKG;2000;3;0;331.69
UKG;2000;4;0;315.32
UKG;2000;5;0;190.93
UKG;2000;6;0;83.91
UKG;2000;7;0;56.06
UKG;2000;8;0;37.16
UKG;2000;9;0;88.33
UKG;2000;10;0;243.17
UKG;2000;11;0;337.22
UKG;2000;12;0;393.42
UKG;2001;1;0;459.8
UKG;2001;2;0;377.14
UKG;2001;3;0;401.28
UKG;2001;4;0;316.39
UKG;2001;5;0;168.55
UKG;2001;6;0;108.4
UKG;2001;7;0;49.85
UKG;2001;8;0;26.13
UKG;2001;9;0;129.72
UKG;2001;10;0;133.73
UKG;2001;11;0;314.61
UKG;2001;12;0;449.38
UKG;2002;1;0;387.44
UKG;2002;2;0;305.94
UKG;2002;3;0;331.69
UKG;2002;4;0;272.99
UKG;2002;5;0;198.38
UKG;2002;6;0;102.82
UKG;2002;7;0;63.81
UKG;2002;8;0;16.65
UKG;2002;9;0;105.63
UKG;2002;10;0;252.5
UKG;2002;11;0;287.61
UKG;2002;12;0;386.98
UKG;2003;1;0;415.29
UKG;2003;2;0;393.05
UKG;2003;3;0;334.7
UKG;2003;4;0;256.79
UKG;2003;5;0;192.6
UKG;2003;6;0;38.38
UKG;2003;7;0;18.24
UKG;2003;8;1.56;28.28
UKG;2003;9;0;98.59
UKG;2003;10;0;278.63
UKG;2003;11;0;298.08
UKG;2003;12;0;413.84
UKG;2004;1;0;393.48
UKG;2004;2;0;374.82
UKG;2004;3;0;357.26
UKG;2004;4;0;256.29
UKG;2004;5;0;179.96
UKG;2004;6;0;69.68
UKG;2004;7;0;67.15
UKG;2004;8;0;23.69
UKG;2004;9;0;84.59
UKG;2004;10;0;240.28
UKG;2004;11;0;307.29
UKG;2004;12;0;381.93
UKG;2005;1;0;362.58
UKG;2005;2;0;378.72
UKG;2005;3;0;333.78
UKG;2005;4;0;270.29
UKG;2005;5;0;199.22
UKG;2005;6;0;67.5
UKG;2005;7;0;32
UKG;2005;8;0;30.82
UKG;2005;9;0;66.63
UKG;2005;10;0;146.42
UKG;2005;11;0;364.2
UKG;2005;12;0;414.54
UKG;2006;1;0;427.32
UKG;2006;2;0;395.79
UKG;2006;3;0;403.09
UKG;2006;4;0;278.32
UKG;2006;5;0;175.65
UKG;2006;6;0;50.17
UKG;2006;7;4.06;3.32
UKG;2006;8;0;27.6
UKG;2006;9;0;35.37
UKG;2006;10;0;161.72
UKG;2006;11;0;305.84
UKG;2006;12;0;355.72
UKG;2007;1;0;341.36
UKG;2007;2;0;341
UKG;2007;3;0;342.36
UKG;2007;4;0;207.94
UKG;2007;5;0;191.25
UKG;2007;6;0;59.89
UKG;2007;7;0;60.68
UKG;2007;8;0;53.74
UKG;2007;9;0;105.06
UKG;2007;10;0;218.26
UKG;2007;11;0;325.5
UKG;2007;12;0;408.09
UKG;2008;1;0;351.9
UKG;2008;2;0;372.06
UKG;2008;3;0;363.59
UKG;2008;4;0;307.1
UKG;2008;5;0;137.51
UKG;2008;6;0;100.17
UKG;2008;7;0;48.36
UKG;2008;8;0;28.53
UKG;2008;9;0;133.5
UKG;2008;10;0;253.18
UKG;2008;11;0;328.08
UKG;2008;12;0;442.27
UKG;2009;1;0;464
UKG;2009;2;0;380.49
UKG;2009;3;0;341.68
UKG;2009;4;0;250.77
UKG;2009;5;0;184.54
UKG;2009;6;0;95.67
UKG;2009;7;0.34;46.6
